step,time
11,0
13,0
14,0
15,0
16,0
18,0
19,0
20,0
21,0
22,0
26,0
27,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
37,0
38,0
39,0
41,0
42,0
44,0
46,0
47,0
49,0
51,0
52,0
54,0
56,0
57,0
58,0
59,0
62,0
63,0
69,0
71,0
72,0
73,0
76,0
78,0
79,0
85,0
89,0
92,0
101,0
105,0
107,0
114,0
124,0
137,0
158,0
176,0
207,0
234,0
246,0
356,0
500,0
