episode,reward
1,-815.9505315771901
2,-1387.196623592483
3,-1433.3284765985657
4,-925.846948883583
5,-1685.1238107243073
6,-1279.0197155489877
7,-1348.7897560607148
8,-902.3219725581683
9,-1580.3284206395003
10,-1029.7347086440852
11,-877.7420803781073
12,-1346.632501130402
13,-1164.4960908303258
14,-1059.6929579527994
15,-1251.174440839179
16,-1185.5269176703653
17,-1219.6795789191217
18,-897.8533360415839
19,-1058.5607539921778
20,-1235.9726096728425
21,-1277.141953126112
22,-1247.0224917315481
23,-1207.0954188336277
24,-1224.6819835225474
25,-1198.5630472070552
26,-1115.4905770548332
27,-1148.4867024057146
28,-1195.0526866465352
29,-1282.0278949455285
30,-1352.4971344671915
31,-1070.4608947339884
32,-1044.8076649571776
33,-1044.955948877983
34,-622.2311070881001
35,-1208.617949326358
36,-914.6687071694298
37,-883.9040226069127
38,-248.93461521238777
39,-128.19759742418853
40,-260.71008035359256
41,-128.0920125847911
42,-353.92407834165107
43,-127.11874975167302
44,-1031.9522268911653
45,-591.5225395934094
46,-2.2737507750362576
47,-241.04291159262598
48,-1461.090529643839
49,-1334.0997858459373
50,-122.86971494407844
51,-1178.5484076290606
52,-125.24103549796195
53,-1020.2663814866581
54,-382.14634912000344
55,-118.2027493287352
56,-247.82958053020462
57,-384.843208660569
58,-280.5336186188763
59,-1228.2681104672724
60,-672.9439724144587
61,-354.7435530854618
62,-121.54134722458676
63,-238.8667514838216
64,-478.0522865948624
65,-121.28730810516181
66,-119.18770357794587
67,-334.34896990045615
68,-1042.4975996316084
69,-231.91469127023888
70,-236.7347260196361
71,-1546.791250219238
72,-1400.5133738661277
73,-126.91863581287403
74,-931.8492056759213
75,-127.17502382298557
76,-136.43481575886022
77,-132.81107959647196
78,-234.96059034067238
79,-130.9706534302389
80,-4.396679290601154
81,-242.7486519790467
82,-3.316828511905162
83,-379.8334654786352
84,-246.8550859026136
85,-117.52279565572033
86,-1434.7734037970622
87,-126.89582201529404
88,-2.2238103130978804
89,-246.31433496692452
90,-691.7982950015745
91,-2.5175115041735303
92,-243.65867311060418
93,-696.8820510233534
94,-252.15694259198858
95,-247.47993052517114
96,-1211.1816190765292
97,-258.66729989878223
98,-8.822446520925393
99,-123.75743087857599
100,-121.511312489537
