episode,step,reward,episode_steps
1,17,13.816882142328945,17
2,38,11.196708883293512,21
3,51,8.255651039519465,13
4,74,8.355735381390721,23
5,86,8.504466913750504,12
6,99,9.249080370499641,13
7,116,9.499121125765125,17
8,129,9.61828197476638,13
9,140,8.271139675408033,11
10,162,3.56384012864331,22
11,190,14.695604254712828,28
12,214,11.282060217505016,24
13,231,10.729883555475876,17
14,256,21.480031392048442,25
15,269,7.396374772315141,13
16,315,69.52266065185576,46
17,331,13.2265085649064,16
18,343,6.2561120380379815,12
19,377,37.49285953015023,34
20,393,8.891938995591067,16
21,411,11.289866626522288,18
22,437,30.47446946848494,26
23,453,7.360612988656216,16
24,475,10.468658857165302,22
25,486,7.12706709076867,11
26,510,17.22327930153396,24
27,526,13.725851767936707,16
28,551,27.433938812446865,25
29,566,13.069550880573454,15
30,585,5.342577784784693,19
31,607,9.408844271406629,22
32,630,6.705844851775129,23
33,642,8.304471146994409,12
34,654,9.43737244835562,12
35,669,11.298087209536284,15
36,684,13.458013117926155,15
37,695,6.886231500935382,11
38,748,93.24710006253734,53
39,764,11.619859658751281,16
40,777,8.781904350747773,13
41,795,3.511264931128673,18
42,807,9.869402963637915,12
43,831,10.543926438593887,24
44,848,5.059228904471373,17
45,874,18.86492288970571,26
46,941,93.2969217737498,67
47,969,25.080131894623282,28
48,988,9.143203521695863,19
49,1004,11.060243097461885,16
50,1031,4.825918474438769,27
51,1049,6.006765489127886,18
52,1061,9.931663607117882,12
53,1083,10.33588656801749,22
54,1108,8.103914636910268,25
55,1117,5.179038525991961,9
56,1132,13.119114211128037,15
57,1173,33.01697860291027,41
58,1187,8.76838596832538,14
59,1207,5.738859409777412,20
60,1223,10.211804801708851,16
61,1241,5.223722510555553,18
62,1255,9.309035632425115,14
63,1276,20.75264685996286,21
64,1291,10.391637275812307,15
65,1309,11.69925116576181,18
66,1329,12.98380115459442,20
67,1344,14.627125616269042,15
68,1358,8.52539911369705,14
69,1385,31.64078248664082,27
70,1394,5.902500689235624,9
71,1411,7.184590817584519,17
72,1426,8.52961876887718,15
73,1457,30.54645213507781,31
74,1482,24.551635333665963,25
75,1508,5.097185355505271,26
76,1525,9.161706844805089,17
77,1535,6.64532972935591,10
78,1563,32.348181382255476,28
79,1582,11.382925238762018,19
80,1603,5.948236219922922,21
81,1611,4.716026676973773,8
82,1625,11.384145950324772,14
83,1635,5.405639744354768,10
84,1649,6.770358980338673,14
85,1662,6.031734578239249,13
86,1685,12.029509653636092,23
87,1695,6.95771604910458,10
88,1709,12.399220443810455,14
89,1747,35.41265952185949,38
90,1759,6.726704646309644,12
91,1781,3.428772487850208,22
92,1810,22.768729699681558,29
93,1826,6.664618876048804,16
94,1839,10.028068650177698,13
95,1862,5.759954622993192,23
96,1873,7.90099785005772,11
97,1894,19.11779790387992,21
98,1905,5.399025615423721,11
99,1915,6.957854823657282,10
100,1926,7.356943877677906,11
101,1936,5.69789436501264,10
102,1962,8.262246730501689,26
103,1973,7.618026817823108,11
104,1985,9.08958497902758,12
105,1995,6.938284097904132,10
106,2030,34.51766178507648,35
107,2043,8.568270566740715,13
108,2095,23.27961720357668,52
109,2140,40.67959851400216,45
110,2172,39.97195557099978,32
111,2226,54.64825614247481,54
112,2243,12.206590376365154,17
113,2295,90.26836107495798,52
114,2307,6.044449870974963,12
115,2383,142.99350671694455,76
116,2396,7.401233090514378,13
117,2470,153.3026487283638,74
118,2493,22.543333910694656,23
119,2513,18.576510141924143,20
120,2547,20.46824854309954,34
121,2564,9.099318342692012,17
122,2586,22.34306382522548,22
123,2632,75.3290010433051,46
124,2672,15.078788396280574,40
125,2695,7.439977104625064,23
126,2708,8.794137802234776,13
127,2728,19.012786520540825,20
128,2743,10.071987347994833,15
129,2754,8.008220307339531,11
130,2787,16.570304111399313,33
131,2809,10.19052758624951,22
132,2853,30.97845914347482,44
133,2870,16.195231051764896,17
134,2919,51.882008074779414,49
135,2941,2.1366937740919663,22
136,3017,114.24759651219195,76
137,3033,13.634900102778953,16
138,3053,13.232041847627091,20
139,3062,4.8565529141455706,9
140,3150,96.66707151361913,88
141,3166,14.399296875071274,16
142,3191,27.850139042317373,25
143,3248,98.1090164665265,57
144,3302,92.52136629597659,54
145,3362,65.78301481850472,60
146,3385,18.251407201197043,23
147,3407,11.271433547954237,22
148,3443,33.696395984215805,36
149,3452,5.0601204125034505,9
150,3466,9.925523195193753,14
151,3528,102.4593589075506,62
152,3540,8.681425465136927,12
153,3607,48.73876826098252,67
154,3629,28.689189410860944,22
155,3652,24.595958443593513,23
156,3688,10.786657889627813,36
157,3706,13.15361115110838,18
158,3719,9.047327834189444,13
159,3829,166.7977760210911,110
160,3842,5.422806204511085,13
161,3881,26.98409699377716,39
162,3907,29.02018633388981,26
163,3928,16.1746360881244,21
164,3968,27.299902881381975,40
165,4001,11.975679625612615,33
166,4082,97.65604645965463,81
167,4093,7.717974542138147,11
168,4113,21.46906324587293,20
169,4184,139.73477296691217,71
170,4262,162.63616232178072,78
171,4337,130.57339924497458,75
172,4352,10.438302956921959,15
173,4380,19.271497553340453,28
174,4402,18.259681288743646,22
175,4487,145.58976270338525,85
176,4522,42.27984948662499,35
177,4596,150.6613901163977,74
178,4664,132.42638630649634,68
179,4693,19.1588644623919,29
180,4722,11.745295122927127,29
181,4735,9.500577444778202,13
182,4801,124.19287272733716,66
183,4856,39.0539229732379,55
184,4880,11.118784001280792,24
185,4934,29.2910915423389,54
186,4980,74.1675184015407,46
187,4996,9.25378495245405,16
188,5015,22.616639382796038,19
