episode,reward
1,-1583.8353554536081
2,-1174.82407868668
3,-1081.7715013992922
4,-980.536719958492
5,-1060.0511153708942
6,-1691.860769455018
7,-1196.3630778928652
8,-992.403144805143
9,-1047.0186340874973
10,-1317.1875439423707
11,-1032.5230679148535
12,-1098.422783482839
13,-1047.3099294913152
14,-1256.0310492962465
15,-916.3855262322629
16,-1181.486971302284
17,-1320.6888058373377
18,-1246.5585344785502
19,-1013.3795344460377
20,-1159.895500374102
21,-1244.6329002248046
22,-1151.8482054268768
23,-1215.545041550213
24,-1274.6802884343542
25,-881.9078270417112
26,-1066.8041760864166
27,-972.0189090650515
28,-762.2433670031784
29,-634.8621525885579
30,-729.2830185632387
31,-621.479105737307
32,-955.024552444177
33,-643.3242255928623
34,-1374.9788048864013
35,-1104.716736490631
36,-696.7099883783444
37,-1164.07990596216
38,-1209.15198946744
39,-563.5879467966889
40,-626.3626081584629
41,-601.6091066776028
42,-248.90416062374172
43,-372.45182917711827
44,-638.9550260775754
45,-1272.653623072699
46,-978.0577587529889
47,-5.2693765403964665
48,-475.8975129946731
49,-1048.3156608659403
50,-126.02337180833996
51,-3.603684666127068
52,-1.3696448575125908
53,-1308.5346996851367
54,-1223.4801252173677
55,-250.84338525557308
56,-1052.8508482921088
57,-6.544727101318462
58,-390.70038483637256
59,-755.7741519581867
60,-246.17023886600617
61,-128.14593814766803
62,-2.5362826092950725
63,-1181.756028166718
64,-249.3537191403085
65,-1230.0707585441119
66,-1388.9411565208716
67,-132.91454477406035
68,-7.3653142349046306
69,-637.9405554588574
70,-130.14766646126802
71,-902.1598695071045
72,-256.0471519916618
73,-488.6949600717448
74,-1277.4945654790629
75,-1233.621531400164
76,-1297.45501403079
77,-248.9258750194428
78,-350.9970010763104
79,-350.9697682686328
80,-2.4501402746991183
81,-1053.6660840904785
82,-2.1642904411751105
83,-748.6064664290449
84,-489.39325602200205
85,-253.21426347571233
86,-483.29637926030415
87,-245.0172846034697
88,-128.7049240959518
89,-1033.3013188704958
90,-1186.1988192794154
91,-245.79519200626015
92,-132.3645604494792
93,-487.7779920899758
94,-621.4519244742714
95,-372.85901746743247
96,-120.07775977423837
97,-126.91954325467859
98,-252.91588284902443
99,-117.55343497252063
100,-354.9070385414021
101,-119.33434124824451
102,-372.0962423108422
