episode,step,reward,episode_steps
1,40,37.301504323506606,40
2,124,66.33645292720699,84
3,134,6.113242538300917,10
4,151,14.333828521253642,17
5,220,54.86894273293904,69
6,241,7.312064387002836,21
7,256,11.926895239083386,15
8,279,19.136497600733136,23
9,317,25.308503131197472,38
10,350,16.101052632011758,33
11,369,13.82443987156721,19
12,404,5.846730471380633,35
13,421,12.719717030798257,17
14,455,26.23499163684684,34
15,482,12.009744780176812,27
16,524,21.955780991162904,42
17,538,9.361798777782823,14
18,574,8.667334854945702,36
19,613,13.586246118209008,39
20,641,4.31596375629586,28
21,661,13.79402002518678,20
22,684,0.732872097885719,23
23,705,8.572170452993925,21
24,722,11.415580438640845,17
25,742,12.731755926290562,20
26,768,13.025950493147828,26
27,785,14.70124059482998,17
28,798,8.750875320223521,13
29,817,1.8629111983106525,19
30,841,10.91818446987464,24
31,875,25.462766512432754,34
32,892,7.8635923398037315,17
33,920,13.67961378569056,28
34,932,7.343716730833962,12
35,968,19.756081810044165,36
36,996,12.077124998154202,28
37,1027,33.192803793520355,31
38,1047,7.629806711230261,20
39,1073,17.33396130169435,26
40,1089,10.686835566710839,16
41,1107,8.559172708530324,18
42,1122,11.107018908153757,15
43,1136,7.629676204902553,14
44,1174,26.869984002742815,38
45,1192,10.664413613063273,18
46,1224,12.521214154804909,32
47,1239,7.296153430993701,15
48,1276,14.331440800583676,37
49,1300,2.363002795543732,24
50,1329,9.978065472924397,29
51,1346,1.5476041782384733,17
52,1361,9.478971455615874,15
53,1405,39.0423062377008,44
54,1420,10.457866649494507,15
55,1467,24.905397696357014,47
56,1513,66.18383974783028,46
57,1584,60.72668971578957,71
58,1612,17.07692220846036,28
59,1638,14.838635149822927,26
60,1663,12.905410993214796,25
61,1704,46.405283961749234,41
62,1735,4.810721448032979,31
63,1770,17.228885186267924,35
64,1782,7.2435670367875336,12
65,1800,12.32046413923343,18
66,1832,7.214699480702363,32
67,1848,13.989405308622514,16
68,1912,40.14179609464429,64
69,1946,13.86929414638822,34
70,1969,3.81585353945434,23
71,2016,34.62306108725128,47
72,2138,240.4784184250686,122
73,2158,13.201747686732928,20
74,2197,24.09610960530297,39
75,2220,11.10602979939353,23
76,2241,11.80255782841943,21
77,2262,12.024366396152724,21
78,2376,128.97717629698582,114
79,2390,11.609057450902432,14
80,2414,9.682836860152102,24
81,2456,14.986652751037743,42
82,2486,15.04586571088761,30
83,2523,22.398408130432454,37
84,2568,38.0655863603653,45
85,2578,6.898144137714782,10
86,2701,113.86182148423816,123
87,2722,18.27933909498863,21
88,2750,20.182438214154494,28
89,2773,18.210868009943983,23
90,2805,12.037451115534223,32
91,2831,18.25785819523494,26
92,2856,17.772298810212178,25
93,2876,10.931435920132513,20
94,2893,15.377231888974048,17
95,2915,23.975086345916814,22
96,2945,39.65640388419356,30
97,2967,13.555900155794744,22
98,2980,10.297789312845238,13
99,2992,9.06421576943522,12
100,3023,13.318475020919262,31
101,3070,54.32015815130618,47
102,3112,36.901848305846215,42
103,3139,21.427251856010596,27
104,3150,7.692521079562449,11
105,3182,10.112331643384216,32
106,3201,17.668774410631347,19
107,3221,11.495792862189337,20
108,3253,20.449213251512642,32
109,3285,13.290694722224016,32
110,3316,31.971059947149786,31
111,3335,10.611401439310976,19
112,3352,9.541335609884666,17
113,3442,100.30787601928087,90
114,3465,16.615659284915644,23
115,3513,35.09800805076382,48
116,3544,8.66568324369799,31
117,3572,12.099514814230947,28
118,3624,20.156985899157675,52
119,3662,23.54913807780201,38
120,3708,20.798717356490826,46
121,3720,8.801760754320819,12
122,3737,10.313097195293082,17
123,3763,35.36428465240429,26
124,3805,24.202702116974283,42
125,3815,5.8303308175927135,10
126,3836,11.717334235330625,21
127,3878,16.504930823304544,42
128,3891,10.743571321850881,13
129,3954,112.07669442151618,63
130,3974,9.654775058238378,20
131,3987,8.6343038791816,13
132,4023,10.977096092191644,36
133,4052,3.4197061144809133,29
134,4067,5.2757700374443655,15
135,4156,151.6599976830981,89
136,4259,217.9615838754358,103
137,4294,35.346540850395016,35
138,4306,8.678438937535002,12
139,4341,17.276640690195794,35
140,4362,5.086156865589528,21
141,4470,180.9516602999789,108
142,4513,28.06047318654269,43
143,4541,22.089471975971673,28
144,4571,27.370248496965296,30
145,4625,47.919741990991774,54
