episode,step,reward,episode_steps
1,78,91.7506665199704,78
2,92,3.822662302063844,14
3,113,16.452479838942963,21
4,132,9.940837530666467,19
5,153,14.40629293309281,21
6,173,9.786688419403426,20
7,193,7.880788805449223,20
8,229,24.512362807699486,36
9,245,6.7604783140415154,16
10,264,12.316659486793593,19
11,276,5.098199434700387,12
12,292,7.34576486453565,16
13,313,17.64380100282671,21
14,334,16.37743548488593,21
15,351,9.841812630112221,17
16,369,7.124507886413298,18
17,384,9.81794820215153,15
18,399,6.2903747321056445,15
19,417,6.442034835515357,18
20,430,7.293677210496627,13
21,450,5.983006012197343,20
22,460,3.7297219862062954,10
23,470,5.670617855002023,10
24,484,7.078586072130096,14
25,494,6.390280712872844,10
26,510,8.148383616399109,16
27,520,4.7052338737614505,10
28,538,9.546241771999668,18
29,556,9.355202039735795,18
30,591,29.267052678247914,35
31,604,4.219434538978088,13
32,627,11.558072244215357,23
33,644,8.387108735634737,17
34,662,17.59865351778851,18
35,681,8.069013661240188,19
36,695,3.165738551806788,14
37,713,10.020607704223986,18
38,749,23.702134392763742,36
39,790,29.50192244280769,41
40,823,21.68542509487723,33
41,855,20.168464187605004,32
42,868,6.614104520112678,13
43,884,5.273247597576584,16
44,898,8.499892794160285,14
45,917,8.19372992670945,19
46,940,14.929405880464648,23
47,953,9.523499388143092,13
48,973,12.8480918713007,20
49,993,13.142447575620643,20
50,1006,6.714862158153371,13
51,1075,61.87610274130951,69
52,1097,10.418944408899918,22
53,1126,22.389256698834178,29
54,1148,12.639768449014783,22
55,1182,14.331171656775382,34
56,1199,11.250065100994496,17
57,1241,47.7687961651289,42
58,1294,56.09879573386301,53
59,1308,7.511726570972588,14
60,1350,48.95351454763456,42
61,1367,12.400241692855454,17
62,1478,191.62876685280642,111
63,1501,14.141166301732738,23
64,1530,19.541541456988295,29
65,1575,43.09896258390022,45
66,1621,70.31317652553952,46
67,1649,15.896980194199244,28
68,1662,4.340550384892004,13
69,1705,12.07334407768553,43
70,1771,53.735900013727985,66
71,1812,8.381190547322555,41
72,1878,92.30179306972173,66
73,1911,32.74526473476513,33
74,1988,105.64304364597498,77
75,2079,121.32724393773834,91
76,2168,133.80745800927238,89
77,2217,76.21424286094691,49
78,2291,116.78786237555943,74
79,2360,90.06709609615459,69
80,2422,105.334959049031,62
81,2518,153.61371317769738,96
82,2542,16.243649976408076,24
83,2576,34.672089739449525,34
84,2660,124.80190888912853,84
85,2729,118.27244430990523,69
86,2809,114.96415761966593,80
87,2860,75.1934325429975,51
88,2980,197.08774508870246,120
89,3114,222.68933375746965,134
90,3199,130.65058842201938,85
91,3274,127.1996542930202,75
92,3331,90.05046716261758,57
93,3396,85.80073298359642,65
94,3482,146.7368119606026,86
95,3555,127.03283887959121,73
96,3634,113.83877701788712,79
97,3765,236.0179971882349,131
98,3841,143.13908820394718,76
99,3906,61.667646354972916,65
100,3942,33.82764584470658,36
101,4021,142.48413794632958,79
102,4099,133.07515253980014,78
103,4145,67.44170615648244,46
104,4218,111.17353698736599,73
105,4333,209.69234930928775,115
106,4381,80.94763537865599,48
107,4449,100.89380192828224,68
108,4536,157.58043616135916,87
109,4624,150.34526245500388,88
110,4747,218.76287210988343,123
111,4838,161.20587514276994,91
112,4922,129.89081654015135,84
113,4987,109.40396159104117,65
114,5039,87.226516251517,52
115,5098,95.87154791575237,59
116,5186,154.85684530830616,88
117,5286,194.76540393727592,100
118,5412,227.70226201361785,126
119,5534,210.40058170470485,122
120,5708,240.6233738544293,174
121,5853,243.21919360591463,145
122,5984,212.57055175213054,131
123,6094,172.62233364933695,110
124,6162,95.7208740059254,68
125,6193,16.990180645347177,31
126,6332,237.61183400712062,139
127,6350,12.583114581781151,18
128,6492,222.15793275018618,142
129,6634,241.3938308142842,142
130,6742,210.7751116232273,108
131,6806,113.10347593748207,64
132,6906,181.60662075501094,100
133,7002,173.46112936088443,96
134,7067,117.17477160794805,65
135,7165,203.20208100159041,98
136,7250,134.5053475705334,85
137,7308,88.7266831317917,58
138,7404,145.42334470383108,96
139,7468,102.4169517016629,64
140,7543,136.48633141652712,75
141,7648,181.57981686374828,105
142,7683,47.59678815800173,35
143,7835,260.0535562089569,152
144,7881,51.805992311691234,46
145,7999,221.1298786522177,118
146,8085,150.42583822875463,86
147,8197,218.21782253131371,112
148,8338,256.0189736078147,141
149,8497,248.41961509963855,159
150,8587,177.13956020627313,90
151,8710,223.08558244894007,123
152,8812,149.2479641393787,102
153,8916,191.65715120885153,104
154,9038,234.0245027532385,122
155,9151,200.45250613699795,113
156,9309,247.82858168249902,158
157,9441,253.72307060362,132
158,9576,245.99319229062323,135
