episode,reward
1,-975.422067947494
2,-996.0438020310414
3,-1226.233556729155
4,-987.6527111423088
5,-1512.4944807446952
6,-877.7835704490375
7,-969.609084233997
8,-1177.9909908358081
9,-973.5163690729125
10,-1669.8426361056884
11,-1006.1501024095509
12,-964.3194390979229
13,-1160.802724079513
14,-1165.3629388977804
15,-1137.2802053555092
16,-1110.8604890986824
17,-1059.310667547964
18,-1331.902127068913
19,-1191.8505589481647
20,-1241.1043141485598
21,-938.7606512792411
22,-1022.3088534333042
23,-905.815776334732
24,-1012.3743493917992
25,-1179.4572882117802
26,-753.2113047873515
27,-502.09693905973114
28,-622.754122619497
29,-874.7094522791389
30,-890.2635670035669
31,-860.5814341123624
32,-794.648160292691
33,-659.8698728711128
34,-941.3546732609451
35,-496.10376256641797
36,-634.2949928914206
37,-375.3345663788702
38,-517.5090375185725
39,-125.80706099215672
40,-245.76557237640094
41,-756.8799311290352
42,-517.7379236696669
43,-362.4179464526783
44,-398.7712518274423
45,-355.24695189718864
46,-245.37118949693962
47,-125.41414778370454
48,-239.97023919483257
49,-486.3941486808566
50,-243.6999195472038
51,-1028.7254962879733
52,-116.9900858260139
53,-122.7896221264873
54,-0.8424057488117954
55,-1377.2451629544123
56,-398.3026118214065
57,-0.963012032803728
58,-1345.2332586494392
59,-235.95777584349383
60,-553.1905554453932
61,-394.18746469280813
62,-2.9023154245639944
63,-258.02381417046064
64,-246.60432802191633
65,-1394.9460332382196
66,-124.80056669368538
67,-249.04242856466902
68,-115.5112681852215
69,-3.6888744293521314
70,-235.35502783055432
71,-123.39645543427584
72,-126.59470246463782
73,-123.3722889725112
74,-119.12500363447664
75,-121.5016880025379
76,-351.7118699167307
77,-1320.9318175435897
78,-946.217710538298
79,-0.7057795984447186
80,-129.93537797990342
81,-252.63853866547075
82,-249.59282021676256
83,-258.2369684541115
84,-245.62440366057027
85,-127.32917426480317
86,-124.86578218308647
87,-250.67788940487057
88,-124.31352245175827
89,-820.8102352044053
90,-321.74949486149796
91,-121.80846273247622
92,-1371.5778956829422
93,-516.5540521016981
94,-255.19711961407842
95,-648.914354639863
96,-363.61439879805204
97,-122.01818724902012
98,-373.74825918878696
99,-550.310725745352
100,-116.94371806413743
