episode,reward
1,-1421.9346556878631
2,-986.2043963291464
3,-1368.7665476225775
4,-1675.2184559183518
5,-1249.1433872460518
6,-766.84804390075
7,-1255.1827621448472
8,-1073.8328417195823
9,-1212.2377554535049
10,-969.6117859805372
11,-876.9663157645407
12,-1040.091741015123
13,-1116.9821156200744
14,-1090.9944652827637
15,-972.0897643542557
16,-1125.0317437380631
17,-899.4415035187899
18,-1150.2458968338246
19,-918.6694024825284
20,-1031.169052300727
21,-1404.7452538752032
22,-760.7662008307193
23,-895.7485220072567
24,-885.9992880399664
25,-642.9033744902741
26,-509.3066359459022
27,-488.1734832580396
28,-511.9735406695662
29,-729.3403958588581
30,-619.7657737683085
31,-509.7459039853039
32,-623.6368395603213
33,-494.5265009274672
34,-378.9375241720259
35,-445.06439897770724
36,-250.94933531532544
37,-897.9710614856581
38,-129.12410246618197
39,-246.15164005512963
40,-128.02528643334634
41,-236.6910629528633
42,-594.8916135737619
43,-360.134674847861
44,-121.43086442239596
45,-1206.7884991490032
46,-1219.5706870443398
47,-255.01509498949258
48,-505.03155851807105
49,-249.9539243048365
50,-1045.0416787100469
51,-350.4915421682819
52,-117.97158819037013
53,-915.8875619785497
54,-880.6871025804602
55,-121.62605403066243
56,-241.16643797275214
57,-263.56937597007544
58,-351.9243447296552
59,-117.55099151537007
60,-375.94256102987697
61,-239.2449462549749
62,-7.945049313840872
63,-450.5311368224093
64,-240.05000976890804
65,-243.1519755360337
66,-398.20689418622476
67,-257.2872208657019
68,-1442.1108033914957
69,-128.16020536985198
70,-5.006028784442348
71,-661.7351484008339
72,-120.98555445874044
73,-1425.3691287184306
74,-591.4618497367264
75,-629.2146445272246
76,-128.31083891384233
77,-123.07262653937687
78,-526.9777560022379
79,-394.3810189964661
80,-133.57042356132064
81,-126.17981270415017
82,-305.87412070812877
83,-127.96574433748586
84,-235.33115333255677
85,-126.73274686332711
86,-1179.1255884351501
87,-239.050210457315
88,-128.19773663581532
89,-1409.4137633500127
90,-975.6384999020459
91,-252.23195126249286
92,-249.1746738791956
93,-379.5574984541814
94,-241.3111091808539
95,-1.977228867658868
96,-361.00760099875873
97,-131.53977768086904
98,-114.91424527249212
99,-121.73002904442797
100,-117.18619358372781
