episode,reward,steps
1,8.376983427866312,22
2,12.864745621935272,14
3,8.577469037637641,20
4,30.697249696175735,27
5,17.12949948010833,21
6,16.087001815034533,33
7,12.63879674776999,21
8,71.97930451196288,48
9,18.15809526191502,20
10,6.789233699909042,12
11,9.568918589139395,17
12,5.886911441032304,11
13,32.64190407006926,29
14,8.4673269043413,16
15,11.11547849155975,18
16,9.089974068932447,17
17,21.292125085794375,22
18,8.123760313245466,17
19,14.155218526561441,18
20,7.197325147781596,16
21,27.496643573602405,26
22,9.179213873607731,18
23,2.1450324124082947,26
24,6.754518240230901,20
25,20.599908845203334,23
26,16.709407282754647,21
27,5.416179831125548,16
28,27.37666004793275,36
29,22.366968387750273,25
30,11.847874246172006,16
31,15.8927804845323,18
32,8.29557579021775,29
33,75.68715423838276,50
34,10.787987164389978,20
35,7.973417050612536,31
36,16.367954946225606,22
37,7.050470438760622,10
38,19.956029382610282,25
39,9.022700241658399,17
40,11.887333241248871,19
41,4.42316850530701,9
42,5.883774758770137,9
43,11.283333289246894,14
44,8.651335293073574,11
45,6.2616741332774986,9
46,8.795861516967816,13
47,9.444297969540038,14
48,14.531782524652927,19
49,9.249684774699219,14
50,3.4934411734602118,18
51,14.19832675438858,15
52,8.177165030126508,11
53,8.313249178609517,20
54,10.829538322455447,16
55,7.491534681085475,15
56,22.606022010778567,24
57,11.802765576145934,16
58,7.015409428485486,16
59,32.9242494268935,32
60,10.229095048572665,29
61,9.941828961009882,18
62,32.002654161756816,36
63,17.705347778605457,21
64,12.242944924825704,37
65,7.462918688170967,15
66,20.324727920059694,19
67,14.807993583808113,27
68,1.5599633675308329,18
69,26.305099581737956,44
70,6.226783997746219,14
71,9.915038679346512,16
72,13.041546643848752,17
73,22.543060038241364,20
74,4.660977754503701,21
75,8.185602559255539,15
76,17.929917526480242,37
77,8.215710241612866,19
78,8.771594255553412,14
79,22.975346683845903,23
80,11.879920669406198,36
81,4.499641385161919,8
82,15.366738152240956,30
83,8.778585323541186,19
84,10.973516057974612,14
85,30.575307093139415,34
86,9.46879473375804,12
87,21.031808405354198,23
88,5.68065711118038,11
89,8.527014954558728,16
90,3.3322388848189695,14
91,24.2871311591607,31
92,4.463180490474568,18
93,4.384419975629355,26
94,11.458916000218935,23
95,20.2963108931356,24
96,39.94321825990481,33
97,11.327481033909631,21
98,12.034323484210047,15
99,4.407875237962358,16
100,18.782718725484035,32
101,15.401367748542322,18
102,10.480870438310033,15
103,21.00718237757452,21
104,14.036610945154417,18
105,8.185190452955569,14
106,11.457230538771864,21
107,16.066923848271816,29
108,37.67594587108069,31
109,6.343909365235138,16
110,7.918681433542655,28
111,8.707039884689435,15
112,16.80940188116054,19
113,11.040746472010317,15
114,7.008423349324374,20
115,7.256967026932836,16
116,7.774386897424532,11
117,20.35320207395465,25
118,8.297860613483085,17
119,22.701243226671988,21
120,131.879391629761,72
121,19.460441343056296,25
122,82.84299936705078,57
123,20.42188550214799,22
124,20.011512572833226,27
125,13.941587840711977,25
126,11.08674012808871,18
127,92.01837303888624,59
128,24.984836597653615,24
129,16.135018230876764,32
130,33.981382924020735,29
131,36.969884734228536,36
132,25.433058006630915,23
133,15.614146838332763,18
134,25.373174547371132,22
135,14.42683680690193,17
136,11.64889871694385,19
137,11.395217310646487,14
138,39.8890930232022,32
139,9.023643742460267,12
140,27.090721065452566,26
141,10.110261950927793,19
142,8.81405751430995,14
143,11.04117387318081,17
144,9.060316534006976,12
145,6.694158114400717,10
146,13.71249189200276,15
147,6.863493975186974,14
148,8.872825128794654,13
149,43.20088573749485,37
150,19.327613408487654,34
151,15.048059648167,17
152,56.293344790439406,50
153,14.689882318182832,25
154,12.476701642052598,16
155,6.124366348572537,28
156,10.685419129584691,22
157,22.833888149142183,24
158,33.19031459759725,40
159,20.99976114214225,21
160,12.66286873278049,17
161,18.937933144342878,25
162,20.81745897168297,24
163,5.431261824617046,9
164,18.351664609257284,33
