episode,reward,steps
1,12.83607094267441,31
2,10.909218659867562,18
3,4.087450842826228,10
4,12.321560412682482,28
5,8.923667845488087,16
6,23.087501317418628,30
7,12.132176315338626,17
8,9.326009803662853,19
9,40.894707695496045,35
10,20.728061946007372,22
11,7.010713147844302,12
12,9.175404793288166,16
13,7.680968094985355,12
14,29.62354918925009,27
15,8.19893116484189,17
16,5.716213732611327,10
17,8.55996866170349,15
18,10.397893168036846,29
19,5.510366489927487,15
20,15.031797458354275,17
21,4.795254706977796,17
22,6.127308002094774,10
23,16.458055633802235,25
24,3.9706593953381017,25
25,6.221317080878878,24
26,11.738923305021375,19
27,9.414871567391987,18
28,15.908791359650603,22
29,9.23572955825063,18
30,11.282829032822471,28
31,15.905648553418501,19
32,43.91752511559022,42
33,16.630867412977935,26
34,17.965684574739875,18
35,32.08430296336512,36
36,10.972426167829486,20
37,7.89334025484229,32
38,9.272669330593498,23
39,24.5600432158051,35
40,9.805167949943954,16
41,10.45884260529135,20
42,3.75421420778101,10
43,7.257159457003399,10
44,12.553453319261232,15
45,13.339681375429523,15
46,12.070384777288332,15
47,9.436038715634188,14
48,14.848788733529865,16
49,12.056649869021339,15
50,3.8865969944147403,17
51,10.780511315747503,12
52,7.895743059469057,12
53,6.511415043328119,22
54,16.650182602764204,18
55,8.927959707327283,15
56,18.654242291232233,20
57,8.32322545740223,17
58,6.854395951765336,17
59,11.412872955286936,18
60,13.508233313377257,18
61,10.843532909544564,31
62,4.655474867795432,15
63,23.13509044505095,36
64,12.651055326150916,18
65,10.184561837982914,26
66,13.62720151601848,14
67,9.76345462585477,14
68,18.90375108529842,18
69,16.78719415644234,27
70,1.702675911056186,18
71,24.731383700815627,43
72,4.837522884888477,12
73,9.968298615435163,19
74,13.624931663135445,18
75,26.118289488462867,22
76,3.9533483985891453,29
77,17.041037405475,25
78,10.800333732276513,18
79,8.993192530483046,19
80,11.420327517253256,14
81,21.09261878787232,23
82,23.550829785976777,28
83,7.722099700477389,14
84,16.555584066727434,29
85,9.877579121525766,22
86,36.437933605344554,46
87,9.39004465963609,12
88,19.29039571632862,22
89,5.726588258126463,12
90,8.607955968795396,16
91,3.407287959435531,14
92,18.044813613442493,27
93,8.189370834748246,21
94,7.261303950007637,33
95,14.132733776550625,18
96,17.565440252072534,21
97,51.897489480736624,39
98,28.384818803881654,26
99,10.11551378771859,18
100,30.879158944342375,35
101,13.869259582096598,17
102,12.319117883034215,18
103,26.299261270631927,26
104,13.968730193501228,19
105,7.295861998721131,13
106,10.866051442377056,18
107,14.918250316298517,26
108,35.809305801280026,30
109,11.839410278497938,24
110,19.41827678004663,24
111,9.413301868843057,13
112,18.58373045441192,21
113,18.625884626953816,31
114,7.923654814103608,15
115,10.333304791949306,13
116,22.587684260188322,30
117,16.48869887983036,31
118,53.23198710586951,48
119,16.982621521631074,27
120,21.82707822521506,25
121,19.84479210315384,26
122,23.04599928381137,31
123,15.285052223552793,22
124,11.510414157437712,23
125,30.038218649556892,53
126,77.18757693216914,56
127,20.973756244272764,22
128,10.524881422627887,19
129,36.01260808944,32
130,94.36713054072565,62
131,4.227331133527565,8
132,17.506601364151468,19
133,27.13092846684704,22
134,12.633296737934797,16
135,8.098102863943524,17
136,11.876801985679865,14
137,126.67736683573605,69
138,10.110847221339162,19
139,7.949619822157649,13
140,14.75275297527152,21
141,7.5395059133720785,12
142,12.445739153098604,13
143,9.536434098648883,14
144,10.876440436144172,18
145,14.737317673476461,30
146,11.668350963610264,16
147,21.91720051961534,26
148,20.507377964056136,18
149,77.6595251749849,74
150,20.365239531811955,24
151,5.557413602270788,34
152,7.816481421540892,13
153,13.175173750623184,20
154,8.155302202849425,12
155,26.920660214898447,26
156,56.41452176506738,43
157,16.09775615756831,23
158,8.536276884129792,12
159,18.05490844717687,20
160,13.743589709919002,28
161,5.17961217880818,13
162,101.09229330789121,63
163,9.905075725224576,17
164,11.104269790930594,14
165,12.813747124386278,19
166,22.82582976676017,24
167,13.273243462172756,18
168,8.836369606200526,17
169,18.690179100214593,28
170,15.659395431598695,17
171,7.349950916152162,15
172,49.91130669078049,38
173,40.87215780784503,44
174,10.101113322845059,15
175,21.47560741650924,23
176,53.70570369434109,40
177,9.373278955786256,14
178,62.49485747945188,41
179,24.136397408297277,23
180,8.984973312166632,14
181,28.979654890857933,33
182,37.92244535915964,46
183,19.64733655327716,32
184,135.22041202206444,75
185,22.69338398646612,21
186,40.556717456812095,35
187,37.559376175403436,34
188,38.67739369071645,32
189,209.18973393849,98
190,11.680301279316225,16
191,24.832947616824633,23
192,27.68754794787437,31
193,12.317987447771237,15
194,9.935045954360886,14
195,105.74247398558288,75
196,41.090772625956184,38
197,28.593769969731042,29
198,134.65033124001926,71
199,38.107873007802716,38
200,14.452584578897053,17
201,45.965328297620005,34
202,18.678982950270736,23
203,30.325748918100672,28
204,19.786911276914125,33
205,12.271330015915437,40
206,21.676219708368453,36
207,15.226394972555186,19
208,25.539416997661622,29
209,22.459801718120083,27
210,29.828699779646136,28
211,34.96516885942895,29
212,5.271525902218561,18
213,24.666473305594263,24
214,128.36420277492797,74
215,61.69880199702326,52
216,12.592027054474194,15
217,7.430239264721625,14
218,64.70192568867783,40
219,12.896864262981609,18
220,18.620524055795215,40
221,65.48124508143691,46
222,18.77257588660292,47
223,38.721702606549805,40
224,64.0637931781355,39
225,23.433484682464165,22
226,7.517806437679219,17
227,9.503489874003503,17
228,205.04318476917786,97
229,139.2641985178597,78
230,40.16761265053086,33
231,67.18962844079351,48
232,140.10734477585382,71
233,34.45388454913727,39
234,11.737490221496278,17
235,12.048143745371522,20
236,10.809793231947342,13
