episode,reward,steps
1,10.551185678096315,27
2,9.917253609633805,15
3,7.213025912169442,15
4,34.09362309502689,29
5,10.134191451196038,14
6,38.18166367260373,40
7,11.576965424985504,17
8,10.709996186369352,15
9,24.388132436025554,39
10,8.959135402541689,15
11,7.606936708614063,14
12,13.98120882622745,19
13,7.0553543545814055,11
14,18.19467450603907,18
15,11.141189129998157,18
16,6.628253244976979,11
17,10.806656701536738,19
18,11.82102664572974,30
19,6.538012240576025,15
20,19.789367812572365,20
21,5.22788911112972,14
22,26.998448011009593,32
23,1.441870398060594,25
24,8.662054729379639,28
25,7.469445016419339,12
26,14.576540892161,19
27,16.162990728124065,23
28,6.3010754085177965,18
29,15.88856555520867,22
30,14.31384375809298,19
31,13.113046401449488,16
32,18.574510980850732,23
33,9.654706662899223,16
34,6.112603733903777,21
35,29.116719952080686,26
36,19.450697792652697,31
37,8.492293014915406,16
38,7.583941340914447,32
39,15.882380464826088,22
40,6.792525354176795,10
41,89.22488291393543,60
42,4.646455136635945,9
43,4.99808134184713,9
44,11.550793561584452,15
45,9.821371917444228,12
46,9.039112102150922,11
47,11.859797459918173,18
48,13.340332170390251,17
49,19.711937263574136,23
50,4.592043595125337,17
51,14.029385650102165,15
52,8.220511117132626,11
53,8.509912413582583,20
54,10.937218727650139,16
55,7.315417303823845,15
56,22.856466343496507,24
57,13.781533230231414,19
58,6.7552251332642825,14
59,8.849291532799311,14
60,19.55304598460891,20
61,10.863711102147185,29
62,2.5567890355030385,15
63,34.34607502246157,37
64,18.41644035858222,21
65,11.390081045822365,25
66,10.22096986452878,12
67,8.090433711175923,14
68,20.699363746927265,19
69,15.496858159483857,27
70,0.9976133339485953,18
71,25.861342386608378,43
72,4.791942915487252,12
73,9.994902250110348,20
74,37.20732068791096,31
75,5.931344605207937,15
76,12.194163482692879,25
77,12.09961491963292,23
78,13.677039336218671,21
79,7.35377424601817,17
80,10.17188076097726,13
81,15.768444093825709,23
82,11.62792285415578,26
83,8.022452549853142,14
84,7.470038990285866,28
85,10.808172502671939,23
86,52.4757387762482,50
87,11.333507567074882,15
88,13.147900057743652,27
89,10.787938649174926,19
90,3.527376454993887,13
91,11.255206446208366,24
92,4.953627649672375,23
93,7.213706093278024,33
94,13.985025537692865,18
95,19.274844036607192,22
96,48.74943562019066,37
97,22.698258394470454,26
98,11.796702013497812,19
99,38.242869415937776,35
100,12.178569580767014,16
101,10.097664777462827,15
102,19.658242660930238,20
103,17.670764552399515,20
104,10.97167573855845,16
105,11.350309114470742,22
106,23.29715663626381,30
107,29.60437121433813,26
108,8.521752654662954,18
109,14.7846606894331,30
110,11.662561198473425,17
111,13.43048779454231,17
112,27.7945499092127,35
113,8.028327929315573,17
114,9.8350779784233,17
115,7.274218982602696,17
116,8.332040961049092,16
117,20.464580093877515,20
118,80.05714270399919,51
119,9.162557719074535,15
120,15.377848507841371,20
121,41.65237378322003,39
122,27.71711714842243,32
123,16.31367484969363,21
124,19.181899876094178,27
125,11.403324418219787,19
126,10.704903141831045,31
127,69.65311267975488,53
128,26.457266377217703,25
129,12.690523545479575,24
130,19.759301307085245,21
131,60.546852904022295,44
132,11.81766502950708,25
133,4.131867161324109,8
134,16.762692060983014,18
135,29.44130599922074,23
136,15.787370093251115,18
137,6.715458251236415,14
138,11.266838068819258,13
139,36.694022456831135,31
140,8.370174027704055,12
141,34.18664553812773,31
142,7.053947645989492,15
143,8.228946110167833,13
144,11.142555307789893,19
145,8.723008672956398,12
146,7.1399802464283955,11
147,11.054646830555987,14
148,8.156936767147549,17
149,6.686007680662345,10
150,44.14573917624482,41
151,22.933066603358775,26
152,20.954534793740436,18
153,51.4778247860225,46
154,15.900269030986218,18
155,6.415408779165765,12
156,9.321235306536623,14
157,8.944826041373133,38
158,7.122810089124171,14
159,17.376128124604893,25
160,19.005397324767255,28
161,18.626703730569417,27
162,26.090113692721793,25
163,21.177078709207777,25
164,16.345124256458554,24
165,9.264483331348101,17
166,11.54457780605113,23
167,20.744242111023215,24
168,43.53452919187639,35
169,10.705174220044551,16
170,11.575496923376715,17
171,27.31764764286712,22
172,24.22287195633427,24
173,17.944727008502493,22
174,6.399220830166805,12
175,9.059943430277059,13
176,13.543281790450125,22
177,15.448953323510246,17
178,6.818570468573625,18
179,16.946690685001425,27
180,33.41046399980163,46
181,18.508444251940155,21
182,35.653620278644745,33
183,16.082439390088986,26
184,17.509844459592028,19
185,29.670008472283556,24
186,29.464445430016713,27
187,10.47666752187363,14
188,12.355500459086707,18
189,21.02912845303391,25
190,84.24794145558172,64
191,18.488245705987246,23
192,40.97275455952633,31
193,115.11616204448673,91
194,26.539946412061365,27
195,12.88878982556878,17
196,19.413221957295654,22
197,27.2320533806431,25
198,46.150068661181216,45
199,60.99936032514542,36
200,6.452134093340307,10
201,32.73008364597565,30
202,13.617925281260478,21
203,14.607154186071215,18
204,9.195499301099208,13
205,52.110612483853465,50
206,13.019358616065995,23
207,26.382643366088875,33
208,43.241922133961076,36
209,17.029641012677047,19
210,39.53844825498459,32
211,6.490079024664489,36
212,17.994096745552458,19
213,15.109315088752547,18
214,28.868135296781332,25
215,10.866092828438314,14
216,22.26788656246418,22
217,20.032963856208163,21
218,153.74696065424902,119
219,8.658705915712275,15
220,25.57488395429841,34
221,58.195185509132735,49
222,62.79312896469438,47
223,19.895024928174344,21
224,242.1764016975659,106
225,17.637162693007088,20
226,11.542304202296966,15
227,9.825872852138543,17
228,166.31113937457798,82
229,27.308090419966742,24
230,8.830756463514717,12
231,17.273737729928985,18
232,196.89858169850507,115
233,24.515513770549873,30
234,12.705127394891335,17
235,3.9606535937596115,11
236,9.359911582352202,17
237,34.916285381656174,29
238,22.055795857237776,23
239,12.61549214285479,16
240,15.269691122340319,17
241,7.803552645947532,13
242,80.8638994372438,52
243,12.595124867655768,15
244,61.21248698879739,44
245,40.124949712184424,35
246,161.09588423414888,78
247,52.123003567433585,40
248,9.778713306673556,19
249,17.16782270728324,22
250,12.048256713000404,14
251,154.01054792527643,84
252,24.078754733806658,23
253,24.742409552929267,28
254,69.26784217010072,46
255,42.49934418005628,33
256,12.384265349840996,17
257,30.265969356811873,39
258,6.956275700249614,19
259,10.526526166980682,13
260,81.34844095674849,48
261,9.195751798933465,15
262,70.46133039073798,51
263,44.503275770906974,46
264,80.22026134484156,56
265,82.26000855110881,55
266,21.520468612376657,25
267,21.444341690814294,22
268,85.54315086727935,53
269,18.145629734000323,20
270,17.507053406735665,20
271,10.174252321068629,14
272,13.628081278717087,37
273,43.0336651316667,34
274,12.79324434818858,17
275,46.304142644378366,36
276,28.289046608955644,31
277,139.5986791047881,72
278,11.670624329463045,31
279,125.02125535393657,68
280,14.817031440445918,37
281,25.501445955259708,26
282,68.03028878002903,93
283,29.674005703530266,40
284,7.809499586498634,20
285,90.8882178681224,79
286,127.68188140510502,84
287,42.41201805202879,34
288,187.79716477296253,93
289,25.45805089420568,31
290,243.49725182506353,124
291,158.8696999783339,85
292,13.945382781707993,14
293,24.26947501107228,36
294,96.06574867487231,54
295,209.7284927081901,95
296,12.711800699881813,34
297,28.552799379471132,25
298,41.97431120026715,34
299,104.1304718994461,57
300,13.517493164303287,24
301,29.688955536384572,39
302,271.9635791467737,157
303,179.4415424192448,84
304,151.98244538090577,74
305,97.20180797444236,53
306,160.3871788302518,75
307,54.304257128455404,51
308,72.232754562755,49
309,243.11142046622984,116
310,223.0098485902571,104
311,29.96830525986698,37
312,207.08127103685345,92
313,77.58391336223661,72
314,28.99971386165744,28
315,71.10045768075703,42
316,193.03452933100505,86
317,96.39675582754089,69
318,160.038319304315,89
319,75.3313133694494,48
320,107.93304877959032,59
321,39.15509412649135,30
322,201.21794436392133,92
323,185.50636520890876,88
324,186.66270244195132,86
325,240.2148417630318,104
326,115.41848648486258,64
327,219.862986008488,102
328,217.11438675668418,100
329,80.38542079406314,47
330,281.72444069529234,138
331,216.90946345400687,105
332,236.12987499095476,109
333,308.70442728350463,184
334,210.68727149934932,91
335,239.86495130931613,102
336,141.13339884913182,71
337,225.0791252722447,104
338,267.5188568551236,151
339,129.00556452314046,69
340,131.27973474320405,68
341,61.045965766789195,37
342,157.85163853564254,87
343,94.38667605144893,54
344,231.78079655247598,115
345,125.71938433812082,65
346,141.341265869105,73
347,207.13655991259222,94
348,159.70699294434124,99
349,207.71973161809964,103
350,249.85170246707864,109
351,210.80899375977305,100
352,87.90447098039789,51
353,252.39447069010188,118
354,70.80319870572437,42
355,142.81303583412083,75
356,73.53003709450518,45
357,227.50249082564213,103
358,215.35672348926272,94
359,227.64279353004193,100
360,183.48844850719973,85
361,117.6533544433012,62
362,285.3001598783969,129
363,102.21972778439522,56
364,106.44031068839463,58
365,63.05547744063155,39
366,89.56513474412183,52
367,225.6612536422153,96
368,246.8001943876472,107
369,193.38242994527047,93
370,205.5751212417445,91
371,244.59990655014667,126
372,222.85722468583327,107
373,227.38800886728268,113
374,85.66815602327873,50
375,213.41795626721103,94
376,228.62930489843205,101
377,227.17279458069012,101
378,40.77914480282156,33
379,202.5007922137383,90
380,233.24873924441792,115
381,246.79713588082,121
382,243.83010124943874,122
383,212.81643363166475,98
384,213.02307639233732,95
385,214.324972915698,100
386,246.49360897285123,128
387,188.871957426498,91
388,122.6789568689242,73
389,200.0028889829747,89
390,204.0329671725768,92
391,83.81332166970405,48
392,77.92481880934737,46
393,197.82682732353905,91
394,181.4442570002304,92
395,174.1264561240288,86
396,230.7661962654373,117
397,224.84183848095603,101
398,212.48818602917103,94
399,175.13956771035808,96
400,283.68039720610864,125
401,243.48080282043267,119
402,232.1330204142706,101
403,221.9727029601071,101
404,214.89260015856638,95
405,244.88923521919116,105
406,224.19377371581788,101
407,231.52656452676493,98
408,258.2551563262328,125
409,215.33049182485138,102
410,227.4891118731992,99
411,245.5403203634585,121
412,252.00047161663653,121
413,287.27031093137697,144
414,227.6584291499649,110
415,305.4921948470287,137
416,226.10713188471934,105
417,150.69044437300857,75
418,294.1171250059411,121
419,34.391372156188716,28
420,233.57664953143941,113
421,276.353568435394,128
422,95.02793931901715,57
423,101.34843836940863,57
424,311.6538958337244,128
425,260.27525700305756,130
426,165.58221676262255,83
427,258.3086968904218,116
428,159.52442855620419,81
429,243.93200023464175,106
430,273.8150038262305,116
431,263.4071098114541,134
432,218.27944729494448,101
433,227.6562616403896,103
434,298.8652411457947,124
435,312.4018247973918,129
436,319.20978565909667,124
437,247.08942714935577,110
438,233.16444939656955,108
439,250.36126129518942,128
440,287.1483322294809,118
441,282.5464680300977,127
442,252.9087374820611,109
443,287.6206100863367,129
444,272.9456593349612,111
445,297.76864445811225,130
446,260.58142253326537,116
447,328.0705725215943,145
448,163.1175324231313,85
449,285.3022098680791,120
450,298.8535453670204,143
451,231.4598847957786,109
452,244.78019142717193,113
453,307.60150538767346,136
454,239.91116538626562,109
455,235.53152144427662,102
456,303.63456041111033,135
457,322.05830588316815,140
458,251.02883820123296,107
459,194.0564617321304,94
460,330.91227248071885,144
461,309.22016121200943,133
462,325.42772748548987,143
463,140.23573414394045,71
464,317.17007598759443,142
465,323.02367802172915,142
466,328.94999635165857,152
467,259.6344474108781,112
468,287.2673376930272,121
469,328.7267389548163,150
470,352.0212228698454,148
471,366.63020536874313,154
472,311.3704389913757,144
473,226.15776080581267,111
474,194.96099511286948,101
475,324.22985883844404,146
476,320.64151291036853,137
477,345.19889782970125,154
478,345.9589154777406,159
479,318.3043059508,129
480,350.7035495745626,151
481,305.8035270113217,125
482,352.19337664586027,152
483,313.1041443175685,124
484,344.131035569415,147
485,271.53214649947466,123
486,336.77268090737704,142
487,338.93388696592325,149
488,317.9104538265212,133
489,351.5450069283844,139
490,330.03958808479075,145
491,190.21066839232867,92
492,326.71557345282673,137
493,331.72067533153415,134
494,366.7248497395319,144
495,341.878861549948,146
496,301.0721957738657,124
497,324.98967929996354,134
498,344.22718952132095,132
499,307.66629187394426,126
500,203.57648231038527,106
501,305.0758207955304,133
502,271.8932283835311,138
503,311.7341309290188,136
504,391.0144795505121,162
505,306.67990289048566,129
506,358.78356348871455,147
507,340.71511512733866,151
508,347.81120916179833,159
509,311.4511639723355,123
510,321.24797230127473,128
511,338.21681814843384,130
