episode,reward
1,-1206.0596947868464
2,-1417.3681651385486
3,-862.107364248158
4,-980.4405352167505
5,-1074.0166609616194
6,-1109.0107177871162
7,-1333.5912576727158
8,-1184.8249391500324
9,-1056.1135628046106
10,-1085.6279223915767
11,-898.9903673879156
12,-1178.3718780203135
13,-1047.875582080003
14,-986.1379433365303
15,-1019.0036728357704
16,-1285.921834513338
17,-1027.5836943103322
18,-1165.71617544215
19,-1016.674729612802
20,-1092.6634497881385
21,-881.4538825131631
22,-1192.0283270981602
23,-811.2945846416682
24,-640.3757767855021
25,-1155.1804915047428
26,-741.9450567296878
27,-864.0120607462368
28,-959.1484247494632
29,-908.3255697142719
30,-508.170980720026
31,-502.81084511121713
32,-256.9677139000478
33,-248.65998392581534
34,-906.4551318891611
35,-129.3731079272686
36,-125.16267398042876
37,-366.76903058108684
38,-243.68527558046102
39,-1038.3909796900368
40,-1023.2341356614114
41,-120.89132558660178
42,-994.9731609954102
43,-243.55381189129506
44,-350.5304107963561
45,-128.4056719042564
46,-131.97299538625862
47,-1498.51820102449
48,-1.4754707363067554
49,-2.1733189268857944
50,-485.6910649537185
51,-235.15136515815328
52,-592.2521880437971
53,-457.7912697111775
54,-1326.8609093010025
55,-1063.162151847473
56,-126.9153427607403
57,-369.35968148931727
58,-249.85424324486053
59,-1300.0130334399134
60,-388.7793716010114
61,-499.1714522255476
62,-2.0970735577334816
63,-365.37647237852906
64,-127.8613469298989
65,-122.03769138020012
66,-796.773501870348
67,-1325.9872767308939
68,-489.14422223097586
69,-234.34937774847896
70,-122.64979766343849
71,-130.61019534616793
72,-245.15144438996452
73,-128.74126883819193
74,-129.19459518498144
75,-121.25328517594585
76,-4.6883910375478
77,-2.9970060125615565
78,-242.27417609244944
79,-126.60091980590462
80,-1321.6323871307122
81,-127.5198648023641
82,-2.230442915363151
83,-1.8678855865362385
84,-254.21514831821216
85,-129.47057385258603
86,-123.70212740447559
87,-123.03813204649924
88,-536.8422135485449
89,-128.7795898380431
90,-125.9302664531801
91,-1494.816133074834
92,-1.6084458105729764
93,-244.62082762446357
94,-255.61438317090415
95,-131.43645496253257
96,-1.1803791436521693
97,-126.73406184881264
98,-359.0134258160908
99,-128.39748259015113
100,-124.07465683975408
