episode,reward
1,-1170.9531986249478
2,-833.1207677862523
3,-996.5740013475249
4,-1730.8326678974806
5,-1352.7475482090272
6,-985.9909061342065
7,-1130.9143924014134
8,-1120.6383044230313
9,-907.3904218038824
10,-1395.725097707985
11,-1254.3266267097172
12,-1014.5026400108773
13,-1048.9284006870132
14,-1005.4523426970409
15,-1065.179840963553
16,-785.3034940927671
17,-870.3926233027208
18,-1352.1954955439194
19,-1629.8072636898753
20,-898.5618262216486
21,-1263.3963670431342
22,-1340.6987362094355
23,-1222.0588216385445
24,-1118.1060685084715
25,-1023.4430243551128
26,-1239.9624776431333
27,-1197.3873819305793
28,-1122.8092851442516
29,-1170.0370880419223
30,-639.1396903892226
31,-925.3062722221164
32,-1137.8890150394047
33,-759.6443892737578
34,-1139.7082012504693
35,-1025.5414059696964
36,-1055.494273356916
37,-804.4523598523465
38,-933.6713205926768
39,-920.6689697308898
40,-504.3087867967138
41,-487.4389429852306
42,-783.995884247993
43,-831.5418131363398
44,-636.5283228293019
45,-254.06905401927193
46,-738.1551248651834
47,-269.02077571529094
48,-251.19222819151764
49,-378.9527534218938
50,-483.28342307565543
51,-486.57125801128666
52,-332.65531582310336
53,-128.62949575683837
54,-1211.2667031401008
55,-1366.6645052773897
56,-1458.1160665756454
57,-362.8879932522309
58,-134.583272340356
59,-473.47019071735576
60,-489.24388015098975
61,-522.9365669709289
62,-921.6558425740118
63,-404.7721328580808
64,-256.13012478849123
65,-383.93195633110946
66,-1546.2548872584086
67,-1327.0456529778774
68,-6.212637008631021
69,-1478.20975082489
70,-1427.8001199926953
71,-1224.584984750412
72,-369.992885133829
73,-907.6286708210171
74,-1148.3091177381555
75,-1374.4452500732011
76,-5.566948584110237
77,-362.6750911552098
78,-1420.720474322965
79,-1338.7276024413297
80,-1340.27112363953
81,-133.46691617293362
82,-1240.3658396429116
83,-266.4709574590696
84,-1224.2473078124056
85,-659.9339556677699
86,-355.39638623051474
