episode,step,reward,episode_steps
1,14,6.626913643777334,14
2,26,8.161458061336248,12
3,51,16.786943652631003,25
4,61,6.944239642560965,10
5,73,8.185756289040151,12
6,98,19.696572242328198,25
7,120,12.688314258172365,22
8,139,11.767679416583082,19
9,158,12.357247446439064,19
10,172,7.2392008162707056,14
11,182,6.249005390448724,10
12,195,7.068326809547575,13
13,220,27.639948717491166,25
14,241,8.72097375711057,21
15,264,18.567697190502752,23
16,281,13.449288605051834,17
17,297,12.451793145205935,16
18,325,18.44684024846886,28
19,352,25.451721845040417,27
20,372,11.882053999939988,20
21,386,9.531480920720576,14
22,400,4.582892624528839,14
23,416,7.897560471172557,16
24,433,8.740227844340431,17
25,459,3.23053213224385,26
26,470,8.032520263828303,11
27,487,15.596958052975692,17
28,503,9.292407705580628,16
29,519,15.87076133823529,16
30,567,43.55711202741762,48
31,580,10.421738358592004,13
32,590,7.109113661745486,10
33,606,9.774310198660691,16
34,617,8.096479449586369,11
35,644,12.705228100133588,27
36,658,8.87329126611116,14
37,672,5.946704561870757,14
38,682,6.872056886132588,10
39,705,9.643777514216922,23
40,717,8.610302969073302,12
41,730,9.686105282912278,13
42,758,16.948295822434876,28
43,793,18.585177890151623,35
44,808,12.39716876774654,15
45,822,9.444540996174101,14
46,855,20.674015082219444,33
47,882,11.4152824878431,27
48,891,6.271218109796288,9
49,906,10.303175334621177,15
50,927,12.933958544195058,21
51,940,9.161287572596223,13
52,959,20.377307253713084,19
53,984,11.490276601846922,25
54,998,11.657679291508641,14
55,1010,7.685692339331067,12
56,1021,9.236437660320753,11
57,1050,30.301115104452734,29
58,1072,19.96142447152296,22
59,1107,28.8082431712728,35
60,1117,5.94068398767697,10
61,1147,28.89932560576747,30
62,1198,26.844117614752193,51
63,1211,10.43799542422106,13
64,1224,8.193141216902003,13
65,1239,7.4525834299931475,15
66,1254,10.673481428509803,15
67,1265,8.181210676372483,11
68,1291,19.31301454949789,26
69,1319,19.955763088255,28
70,1338,14.4368802067809,19
71,1353,10.69032927005233,15
72,1368,13.386822459390562,15
73,1387,6.989889168013507,19
74,1402,9.792473814550714,15
75,1424,17.816312438506944,22
76,1441,13.195014392995613,17
77,1481,25.540875638713267,40
78,1504,15.449536128624903,23
79,1523,11.268314258830992,19
80,1539,5.733960916302075,16
81,1560,17.802490127777133,21
82,1571,6.274261042394208,11
83,1584,7.800521202083817,13
84,1609,27.765271661287837,25
85,1637,16.80540546185529,28
86,1648,8.21794475570712,11
87,1662,8.293707548772462,14
88,1675,10.168158062311234,13
89,1688,10.498484210199198,13
90,1720,14.445639626562333,32
91,1738,14.704812950867188,18
92,1749,7.850001558297563,11
93,1764,10.392513941914038,15
94,1784,15.788356022451696,20
95,1792,3.9582663814309993,8
96,1816,15.61755608207774,24
97,1835,16.11650350417187,19
98,1851,10.322412501550021,16
99,1881,13.292976994632978,30
100,1900,18.854673287621505,19
101,1920,16.499651055402357,20
102,1943,16.916499166855374,23
103,1953,6.85214693518212,10
104,1966,5.439570175117127,13
105,1976,6.653029395154235,10
106,1991,5.123209339962549,15
107,1999,5.11930920975461,8
108,2024,12.648010349515832,25
109,2047,12.82527474912941,23
110,2060,6.775859177525283,13
111,2072,7.325242807635089,12
112,2098,17.99977114256706,26
113,2112,10.170927711599596,14
114,2134,13.656371352114519,22
115,2167,29.137108665146926,33
116,2180,10.982268844008852,13
117,2201,8.880133746333957,21
118,2231,16.31887462958139,30
119,2247,14.952310156467517,16
120,2269,16.635684868581084,22
121,2280,6.157580254352254,11
122,2300,14.261376018649145,20
123,2336,19.430402229719597,36
124,2381,22.705399054431425,45
125,2392,7.650239450768933,11
126,2420,33.35669639860342,28
127,2433,9.684458434195847,13
128,2457,20.244017669881988,24
129,2472,11.247782276995371,15
130,2528,62.20362234706261,56
131,2550,10.908720499298752,22
132,2570,14.353831753126682,20
133,2595,15.236770538049837,25
134,2612,14.352040594910072,17
135,2633,12.266852555725855,21
136,2647,10.947650192788682,14
137,2664,15.327211448484517,17
138,2688,17.51798412977087,24
139,2702,10.898020874050655,14
140,2716,11.393828028894557,14
141,2738,12.416550494047009,22
142,2767,21.179508724465926,29
143,2797,22.954351722622885,30
144,2821,8.939386025572857,24
145,2839,18.558858976789175,18
